央视频道,#genre#
CCTV5,http://zbdl.jsonjk.top/MGDL/ZBmgDL.php?id=cctv5
CCTV5,http://gslbservzqhsw.itv.cmvideo.cn/1000000005000265016/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265016&livemode=1&stbId=3
CCTV5,http://113.220.232.121:9999/tsfile/live/0005_1.m3u8
CCTV5,http://zy.otioi.cn/live/live.php?token=OTl3ByOe14&id=cctv5
CCTV5,http://zy.otioi.cn/live/cqyx.php?token=k1u1iVa8&id=cctv5
CCTV5,http://gslbservzqhsw.itv.cmvideo.cn/0000000000001000/1000000005000025222/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000005000025222
CCTV5,http://zy.otioi.cn/live/cqyx.php?token=pfVmkew4&id=cctv5
CCTV5,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv5
CCTV5,http://zy.otioi.cn/live/live.php?token=pfVmkew4&id=cctv5
CCTV5,http://219.159.194.172:8181/tsfile/live/0005_1.m3u8
CCTV5,http://183.66.15.146:60901/tsfile/live/0005_1.m3u8?key=txiptv
CCTV5,http://ikuai.zlsip.top:4022/rtp/239.3.1.173:8001
CCTV5,http://219.159.194.176:8181/tsfile/live/0005_1.m3u8
CCTV5,http://buffaloft.ignorelist.com:8888/rtp/239.3.1.173:8001
CCTV5,http://123.113.237.160:8888/rtp/239.3.1.173:8001
CCTV5+,http://zbdl.jsonjk.top/MGDL/ZBmgDL.php?id=cctv5p
CCTV5+,http://gslbservzqhsw.itv.cmvideo.cn/0000000000001000/5000000011000031127/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000011000031127
CCTV5+,http://zy.otioi.cn/live/live.php?token=pfVmkew4&id=cctv5p
CCTV5+,http://zy.otioi.cn/live/migu.php?token=4zfvOqMj&id=cctv5p
CCTV5+,http://zy.otioi.cn/live/cqyx.php?token=k1u1iVa8&id=cctv5p
CCTV5+,http://zy.otioi.cn/live/cqyx.php?token=pfVmkew4&id=cctv5p
CCTV5+,http://zy.otioi.cn/live/live.php?token=EkShOWBY&id=cctv5p
CCTV5+,http://123.182.60.29:9002/hls/17/index.m3u8
CCTV5+,http://fangke.blueswords.com:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://58.19.38.162:9901/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://ikuai.zlsip.top:4022/rtp/239.3.1.130:8004
CCTV5+,http://buffaloft.ignorelist.com:8888/rtp/239.3.1.130:8004
CCTV5+,http://123.113.237.160:8888/rtp/239.3.1.130:8004
CCTV5+,http://219.159.194.172:8181/tsfile/live/0016_1.m3u8
CCTV5+,http://coolcat.synology.me:4022/rtp/239.3.1.130:8004
